项目名称,网址,项目类型,项目所在地,zbkzj,下浮率,kbjj,投标单位数量,开标时间
龙泉市第一中学综合教学楼工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661923_225438.html,房屋建筑工程,龙泉,0,0,0,59,2023/8/25
丽水南城生态停车场改造提升项目-水阁东生态停车场及配套工程勘察,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661812_226361.html,房屋建筑,丽水,0,0,0,8,2023/8/25
龙泉市环城东路北段延伸线市政工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661923_224994.html,市政基础设施工程,龙泉,0,0,0,27,2023/8/25
遂昌县南街区块开发利用拆建一体工程一期（市政配套）项目,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229662124_226388.html,市政基础设施工程,遂昌,0,0,0,17,2023/8/25
丽水市莲都区东苑小区老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661852_226456.html,1基础设施,莲都,4619753,8,4250172.76,133,2023/8/25
缙云县下小溪小学扩建工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229662089_226350.html,房屋建筑工程,缙云,38143742.85,9.1,34672662.25,133,2023/8/25
云和县公共卫生服务能力提升项目―120急救指挥中心新建及医技楼改扩建工程,http://lssggzy.lishui.gov.cn/art/2023/8/28/art_1229661989_226742.html,房屋建筑工程,云和,7571622.539,9.4,6859890.02,125,2023/8/28
浙西南农产品高质量发展项目--松阳县共富农事服务中心项目（粮食烘干二期）,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229662157_227000.html,农业工程,松阳,7033706.002,4.7,6703121.82,113,2023/8/29
青田县瓯南街道南湾至黄山公路新建工程,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_236612.html,交通工程,青田,10867113.22,2.5,10595435.39,84,2023/8/29
青田县温溪镇温溪新区市政道路配套新建工程―温中西路沙埠村段及富强路南段,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_227019.html,市政基础设施工程,青田,0,0,0,13,2023/8/29
丽水南城石材市场支路提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661812_227070.html,1基础设施,丽水,17891378,14.5,15297128.19,119,2023/8/29
缙云县体育设施补短板工程及市民广场地下停车场工程（EPC）总承包监理,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229662089_227092.html,房屋建筑工程,缙云,3608038,0,3608038,8,2023/8/29
青田县瓯南医疗综合服务中心新建工程监理,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_227009.html,房屋建筑工程,青田,1175877,0,1175877,7,2023/8/29
云和县城东公共停车场及综合配套工程-狮山路道路工程,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229661989_227327.html,市政基础设施工程,云和,0,0,0,38,2023/8/30
缙云建筑固废物综合利用工程方案优化及初步设计,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229662089_227303.html,市政基础设施工程,缙云,0,0,0,5,2023/8/30
丽水市人民医院东城院区医疗科教综合楼（三期香樟公园工程）,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229661812_227240.html,1基础设施,丽水,6644648.996,6.4,6219391.46,184,2023/8/30
青田县三溪口中学新建项目（一期）,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229661956_227324.html,房屋建筑工程,青田,0,0,0,13,2023/8/30
丽水市胡村水厂工程(一期)-绿化景观项目,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229661812_227302.html,1基础设施,丽水,5638484.425,6.9,5249429,188,2023/8/30
遂昌县星辰国际项目设计,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229662124_227299.html,房屋建筑工程,遂昌,0,0,0,9,2023/8/30
2023年莲都区农村供水保障工程-老竹镇（老竹水厂）管网延伸工程,http://lssggzy.lishui.gov.cn/art/2023/8/31/art_1229661852_227400.html,6,莲都,7271460.89,0,7271460.89,139,2023/8/31
青田县舒桥乡集中供水中央坑水库及配套工程,http://lssggzy.lishui.gov.cn/art/2023/8/31/art_1229661956_227329.html,水利工程,青田,0,0,0,34,2023/8/31
景文小区基础设施建设项目,http://lssggzy.lishui.gov.cn/art/2023/8/31/art_1229662190_227463.html,市政基础设施工程,景宁,7242287.476,6.1,6800507.94,181,2023/8/31
遂昌县松阴溪流域综合治理工程（一期）-第四标段,http://lssggzy.lishui.gov.cn/art/2023/9/1/art_1229662124_227813.html,水利工程,遂昌,0,7.3,0,188,2023/9/1
青田县山口镇四都港大田段生态化治理工程（水利部分）,http://lssggzy.lishui.gov.cn/art/2023/9/1/art_1229661956_227862.html,水利工程,青田,2456922,0,2456922,26,2023/9/1
缙云县体育设施补短板工程及市民广场地下停车场工程（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/9/3/art_1229662089_227879.html,房屋建筑工程,缙云,485718312.8,6,456575214,13,2023/9/3
青田县舒桥乡集中供水中央坑水库及配套工程监理,http://lssggzy.lishui.gov.cn/art/2023/9/4/art_1229661956_228084.html,水利工程,青田,1605928.83,0,1605928.83,8,2023/9/4
紫金片区排水设施改造工程,http://lssggzy.lishui.gov.cn/art/2023/9/4/art_1229661852_228097.html,1基础设施,莲都,0,9,0,77,2023/9/4
河堤北路（常平路―凤山路）等道路工程设计,http://lssggzy.lishui.gov.cn/art/2023/9/4/art_1229661812_228122.html,1基础设施,丽水,0,0,0,8,2023/9/4
莲都区白桥邻里中心工程、莲都区白口幼儿园新建工程全过程工程咨询服务,http://lssggzy.lishui.gov.cn/art/2023/9/4/art_1229661852_228119.html,房屋建筑,莲都,2534500,0,2534500,5,2023/9/4
遂昌县东城共富核心区市政基础设施配套项目（一期）,http://lssggzy.lishui.gov.cn/art/2023/9/4/art_1229662124_227287.html,市政基础设施工程,遂昌,0,0,0,42,2023/9/4
景宁畲族自治县饮用水源地(金村水库)边坡治理及综合利用项目（第三次）,http://lssggzy.lishui.gov.cn/art/2023/9/4/art_1229662190_228125.html,水利工程,景宁,0,0,0,63,2023/9/4
环城东路延伸（凤凰大道至鸭蛋坑段）工程,http://lssggzy.lishui.gov.cn/art/2023/9/4/art_1229662190_228114.html,市政基础设施工程,景宁,0,0,0,40,2023/9/4
丽水市330国道-腊口供水干管工程（湾岙至风化段）EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/9/5/art_1229661812_228465.html,1基础设施,丽水,0,0,0,5,2023/9/5
遂昌县清水源水库引水工程（二期）,http://lssggzy.lishui.gov.cn/art/2023/9/5/art_1229662124_228135.html,水利工程,遂昌,0,0,0,30,2023/9/5
龙泉市三江口基础提升改造工程（二期）,http://lssggzy.lishui.gov.cn/art/2023/9/5/art_1229661923_228332.html,市政基础设施工程,龙泉,0,0,0,16,2023/9/5
330国道改建工程房屋拆除安置点建设项目（徐岙村）,http://lssggzy.lishui.gov.cn/art/2023/9/5/art_1229661956_228207.html,国土资源工程,青田,6138424.417,10.8,5475474.58,21,2023/9/5
缙云县乡镇街道生态公墓建设工程-壶镇下潜片区生态公墓（二期）,http://lssggzy.lishui.gov.cn/art/2023/9/5/art_1229662089_228404.html,房屋建筑工程,缙云,14600988.78,8.3,13389106.71,173,2023/9/5
松阳县人民医院改扩建项目-气动物流传输系统,http://lssggzy.lishui.gov.cn/art/2023/9/5/art_1229662157_228058.html,房屋建筑工程,松阳,0,0,0,6,2023/9/5
遂昌县环城北路（大桥至竹山下）连接线工程设计,http://lssggzy.lishui.gov.cn/art/2023/9/6/art_1229662124_228689.html,市政基础设施工程,遂昌,0,0,0,12,2023/9/6
碧湖镇松坑口安置小区基础设施配套工程（二期）工程,http://lssggzy.lishui.gov.cn/art/2023/9/6/art_1229661852_228598.html,1基础设施,莲都,12470932,9.5,11286193.46,254,2023/9/6
好溪路延伸段（市场一号路―灵山大桥引桥）工程,http://lssggzy.lishui.gov.cn/art/2023/9/6/art_1229661812_228682.html,1基础设施,丽水,29723013.48,11.2,26394035.97,218,2023/9/6
缙云县潜明水库库区水源保护及生态修复工程Ⅲ标段,http://lssggzy.lishui.gov.cn/art/2023/9/6/art_1229662089_228687.html,水利工程,缙云,8181700.87,0,8181700.87,200,2023/9/6
龙泉市梅溪河流骆庄-溪口段综合治理工程IV标段,http://lssggzy.lishui.gov.cn/art/2023/9/6/art_1229661923_228707.html,水利工程,龙泉,0,0,0,49,2023/9/6
龙泉市大汪区块基础设施配套工程-电力杆线迁移项目,http://lssggzy.lishui.gov.cn/art/2023/9/7/art_1229661923_227842.html,市政基础设施工程,龙泉,0,0,0,6,2023/9/7
景宁畲族自治县标准化矿产资源综合利用基地项目二期（附属配套）,http://lssggzy.lishui.gov.cn/art/2023/9/7/art_1229662190_228932.html,房屋建筑工程,景宁,0,0,0,28,2023/9/7
丽水市市政延伸农饮水工程（青岗村、花街村、湾岙村）EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/9/7/art_1229661812_228868.html,1基础设施,丽水,0,0,0,4,2023/9/7
缙云县县城建成区“污水零直排”建设工程-谢山路区块污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/9/7/art_1229662089_228909.html,市政基础设施工程,缙云,12961053.16,6.2,12157467.86,257,2023/9/7
庆元县人民医院迁建工程―医用气体设备采购与安装,http://lssggzy.lishui.gov.cn/art/2023/9/7/art_1229662056_228933.html,房屋建筑工程,庆元,0,0,0,8,2023/9/7
云和县应急救援及物资储备中心项目,http://lssggzy.lishui.gov.cn/art/2023/9/8/art_1229661989_229257.html,房屋建筑工程,云和,0,0,0,28,2023/9/8
景宁县金山小区76幢保租房装修项目,http://lssggzy.lishui.gov.cn/art/2023/9/8/art_1229662190_229067.html,房屋建筑工程,景宁,6831424.473,7,6353224.76,161,2023/9/8
莲都区联城街道社区卫生服务中心迁建项目-供氧系统设备采购与安装,http://lssggzy.lishui.gov.cn/art/2023/9/8/art_1229661852_229259.html,房屋建筑,莲都,0,0,0,8,2023/9/8
龙泉市棋盘山区块基础设施综合提升项目―道路改造工程（林岭线）―电力工程（管道、路灯、线路迁改等）,http://lssggzy.lishui.gov.cn/art/2023/9/8/art_1229661923_228083.html,市政基础设施工程,龙泉,0,0,0,17,2023/9/8
缙云县农产品加工小微园（一期）室外附属及市政配套工程,http://lssggzy.lishui.gov.cn/art/2023/9/8/art_1229662089_229171.html,市政基础设施工程,缙云,10817318.43,7.5,10006019.55,241,2023/9/8
吉利智能热管理系统制造项目（一期）监理,http://lssggzy.lishui.gov.cn/art/2023/9/8/art_1229661923_229202.html,房屋建筑工程,龙泉,0,0,0,7,2023/9/8
青田县官坑源小流域综合治理提质增效项目,http://lssggzy.lishui.gov.cn/art/2023/9/8/art_1229661956_226839.html,水利工程,青田,26003699.6,0,26003699.6,179,2023/9/8
青田县温溪镇综合文化服务中心新建工程,http://lssggzy.lishui.gov.cn/art/2023/9/9/art_1229661956_229263.html,房屋建筑工程,青田,0,0,0,99,2023/9/9
百山祖国家公园英川入口社区及英川保护管理站（一期）,http://lssggzy.lishui.gov.cn/art/2023/9/9/art_1229662190_229093.html,房屋建筑工程,景宁,8027762.852,7.8,7401597.35,84,2023/9/9
青田县油竹田步区块省级标杆工业园区提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/9/11/art_1229661956_229497.html,市政基础设施工程,青田,0,0,0,13,2023/9/11
金竹镇王川村基础设施提升项目(多彩王川),http://lssggzy.lishui.gov.cn/art/2023/9/11/art_1229662124_229465.html,市政基础设施工程,遂昌,9697309.697,10.8,8650000.25,149,2023/9/11
龙泉市棋盘山区块基础设施综合提升项目―西主入口工程,http://lssggzy.lishui.gov.cn/art/2023/9/11/art_1229661923_228453.html,市政基础设施工程,龙泉,0,0,0,16,2023/9/11
遂昌县应村水厂及管网改造工程,http://lssggzy.lishui.gov.cn/art/2023/9/11/art_1229662124_229378.html,水利工程,遂昌,5763712.404,8.9,5250742,11,2023/9/11
丽水市市区屋顶（第三批次）光伏项目-光伏板采购,http://lssggzy.lishui.gov.cn/art/2023/9/11/art_1229661852_229482.html,房屋建筑,莲都,0,0,0,3,2023/9/11
遂昌县竹产业共富产业园项目监理,http://lssggzy.lishui.gov.cn/art/2023/9/12/art_1229662124_229851.html,房屋建筑工程,遂昌,0,0,0,14,2023/9/12
松阳县静安园公墓4号地块及附属建设工程-墓穴工程,http://lssggzy.lishui.gov.cn/art/2023/9/12/art_1229662157_229540.html,房屋建筑工程,松阳,17083622,8,15716932.24,8,2023/9/12
遂昌县水系连通及水美乡村项目―灵山港流域幸福河湖建设二期,http://lssggzy.lishui.gov.cn/art/2023/9/12/art_1229662124_229231.html,水利工程,遂昌,16139035.59,0,16139035.59,139,2023/9/12
长江经济带瓯江干流（市本级段）流域保护及修复工程―丽水市城市内河整治提升工程（一期）Ⅰ标段,http://lssggzy.lishui.gov.cn/art/2023/9/13/art_1229661812_230082.html,6,丽水,24464825.17,0,24464825.17,178,2023/9/13
青田县油竹街道雅岙村生活污水零直排项目,http://lssggzy.lishui.gov.cn/art/2023/9/13/art_1229661956_229896.html,市政基础设施工程,青田,0,0,0,21,2023/9/13
庆元县髦藿值郎态清洁小流域水土流失综合治理项目设计,http://lssggzy.lishui.gov.cn/art/2023/9/13/art_1229662056_230061.html,水利工程,庆元,1254781,0,1254781,5,2023/9/13
景宁县“大搬快聚富民安居”工程张春安置小区C―01项目监理,http://lssggzy.lishui.gov.cn/art/2023/9/13/art_1229662190_229856.html,房屋建筑工程,景宁,4466690,0,4466690,10,2023/9/13
丽水莲都经投鑫城科技有限公司数字健康集成智造项目设计,http://lssggzy.lishui.gov.cn/art/2023/9/13/art_1229661852_230068.html,房屋建筑,莲都,0,0,0,5,2023/9/13
云和县公共文体设施补短板-博物馆装饰装修布展项目,http://lssggzy.lishui.gov.cn/art/2023/9/14/art_1229661989_230145.html,房屋建筑工程,云和,0,0,0,16,2023/9/14
遂昌县农村水利基础设施建设项目设计,http://lssggzy.lishui.gov.cn/art/2023/9/14/art_1229662124_230252.html,水利工程,遂昌,0,0,0,5,2023/9/14
景宁县“大搬快聚富民安居”张春小区保障性住房C-09地块全过程代建开发项目,http://lssggzy.lishui.gov.cn/art/2023/9/14/art_1229662190_230091.html,房屋建筑工程,景宁,0,0,0,8,2023/9/14
吉利智能热管理系统制造项目（一期）设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/9/15/art_1229661923_230595.html,房屋建筑工程,龙泉,0,0,0,13,2023/9/15
丽景民族工业园基础设施配套工程（一期）,http://lssggzy.lishui.gov.cn/art/2023/9/15/art_1229662190_230604.html,市政基础设施工程,景宁,0,0,0,58,2023/9/15
松阳县赤寿生态工业区块协作路邻里中心6#楼工程,http://lssggzy.lishui.gov.cn/art/2023/9/15/art_1229662157_230594.html,房屋建筑工程,松阳,0,0,0,12,2023/9/15
青田县舒桥乡集中供水中央坑水库及配套工程,http://lssggzy.lishui.gov.cn/art/2023/9/18/art_1229661956_230834.html,水利工程,青田,75441614,0,75441614,25,2023/9/18
龙泉市库区特色渔业乡村振兴试点综合项目-滨水渔乐产业集群建设项目,http://lssggzy.lishui.gov.cn/art/2023/9/18/art_1229661923_229836.html,房屋建筑工程,龙泉,0,0,0,39,2023/9/18
云和县白龙山街道赤龙矿区普通建筑石料矿矿地综合开发利用项目,http://lssggzy.lishui.gov.cn/art/2023/9/18/art_1229661989_230653.html,其他工程,云和,0,0,0,21,2023/9/18
莲都区联城街道苏埠村三佰秧垦造耕地项目,http://lssggzy.lishui.gov.cn/art/2023/9/18/art_1229661852_230823.html,国土资源,莲都,0,0,0,8,2023/9/18
青田县温溪三小幼儿园迁建工程,http://lssggzy.lishui.gov.cn/art/2023/9/18/art_1229661956_230654.html,房屋建筑工程,青田,0,0,0,13,2023/9/18
缙云县新区彩云路延伸工程,http://lssggzy.lishui.gov.cn/art/2023/9/19/art_1229662089_231127.html,市政基础设施工程,缙云,28332697.57,7.3,26264410.65,205,2023/9/19
遂昌县石练镇宜机化改造项目,http://lssggzy.lishui.gov.cn/art/2023/9/19/art_1229662124_231092.html,房屋建筑,遂昌,0,11.7,0,144,2023/9/19
三溪口街道下坦至黄山垄联村道路扩建提升工程,http://lssggzy.lishui.gov.cn/art/2023/9/19/art_1229661956_230869.html,交通工程,青田,7362996.296,2,7215736.37,100,2023/9/19
云和县长垄生活垃圾填埋场修复工程,http://lssggzy.lishui.gov.cn/art/2023/9/20/art_1229661989_231195.html,市政基础设施工程,云和,0,0,0,34,2023/9/20
庆元县兰溪桥水库扩建工程大坑口安置用地基础设施建设工程（高低压配电工程）,http://lssggzy.lishui.gov.cn/art/2023/9/20/art_1229662056_231398.html,房屋建筑工程,庆元,0,0,0,6,2023/9/20
碧湖镇垃圾中转站项目-垃圾压缩设备采购与安装,http://lssggzy.lishui.gov.cn/art/2023/9/20/art_1229661852_231395.html,房屋建筑,莲都,0,0,0,11,2023/9/20
遂昌县经开区共富平台基础设施提升配套消纳场项目设计,http://lssggzy.lishui.gov.cn/art/2023/9/20/art_1229662124_231389.html,市政基础设施工程,遂昌,0,0,0,9,2023/9/20
多彩畲山建设工程总承包,http://lssggzy.lishui.gov.cn/art/2023/9/21/art_1229662190_231671.html,房屋建筑工程,景宁,0,0,0,6,2023/9/21
丽水市莲都区原酱园弄拆迁安置房周边老小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/9/21/art_1229661852_231648.html,1基础设施,莲都,4581683.998,10.7,4091443.81,89,2023/9/21
松阳县固废资源循环利用项目-先导工程,http://lssggzy.lishui.gov.cn/art/2023/9/21/art_1229662157_231668.html,房屋建筑工程,松阳,0,0,0,6,2023/9/21
遂昌县西街区块住宅建设项目（公园路地块）,http://lssggzy.lishui.gov.cn/art/2023/9/21/art_1229662124_231482.html,房屋建筑工程,遂昌,0,0,0,7,2023/9/21
遂昌县西街区块住宅建设项目（西街地块）监理,http://lssggzy.lishui.gov.cn/art/2023/9/21/art_1229662124_231666.html,房屋建筑工程,遂昌,0,0,0,10,2023/9/21
丽水市人民医院东城院区医疗科教综合楼[二期和平路（丽阳街-寿元路）道路工程],http://lssggzy.lishui.gov.cn/art/2023/9/22/art_1229661812_231681.html,1基础设施,丽水,26119446.4,8.5,23899293.46,211,2023/9/22
松阳县机关大院3号楼加固大修项目,http://lssggzy.lishui.gov.cn/art/2023/9/23/art_1229662157_230276.html,房屋建筑工程,松阳,5002818.002,6.4,4682637.65,116,2023/9/23
遂昌县竹产业共富产业园项目,http://lssggzy.lishui.gov.cn/art/2023/9/23/art_1229662124_232095.html,房屋建筑工程,遂昌,0,0,0,42,2023/9/23
松阳县东坞水库饮用水水源地信息化监管及生态修复工程（一期）,http://lssggzy.lishui.gov.cn/art/2023/9/25/art_1229662157_232342.html,市政基础设施工程,松阳,6796574.004,11.1,6042154.29,172,2023/9/25
东坑镇深村“两山”转换研学建设项目（二期）,http://lssggzy.lishui.gov.cn/art/2023/9/25/art_1229662190_232207.html,房屋建筑工程,景宁,4978483.898,4.3,4764409.09,46,2023/9/25
丽水空港园区基础设施及配套项目-KG-01东区块路网,http://lssggzy.lishui.gov.cn/art/2023/9/25/art_1229661812_232318.html,1基础设施,丽水,0,0,0,13,2023/9/25
青田县急危重症救治体系建设项目（一期）-急诊扩容新建工程,http://lssggzy.lishui.gov.cn/art/2023/9/25/art_1229661956_232320.html,房屋建筑工程,青田,9129388.508,4.8,8691177.86,105,2023/9/25
松阳县2023年“四好农村路”提升工程（安防工程）,http://lssggzy.lishui.gov.cn/art/2023/9/25/art_1229662157_232081.html,交通工程,松阳,3854169.636,1,3815627.94,6,2023/9/25
浙江省中波发射管理中心云和广播转播台建设工程二期,http://lssggzy.lishui.gov.cn/art/2023/9/25/art_1229661989_232115.html,房屋建筑工程,云和,0,0,0,6,2023/9/25
乌溪江水库湖山湖库区水生态保护修复工程项目（一期）多介质高效脱氮除磷生物滤料工程货物供货及服务（第二次）,http://lssggzy.lishui.gov.cn/art/2023/9/26/art_1229662124_232381.html,水利工程,遂昌,0,0,0,4,2023/9/26
丽水市东地路与寿元街交叉口西北侧地块商住用房项目公共区域精装修工程,http://lssggzy.lishui.gov.cn/art/2023/9/26/art_1229661812_232361.html,房屋建筑,丽水,0,0,0,16,2023/9/26
丽水法治文化公园法治宣传教育基地装修展陈项目EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/9/26/art_1229661852_232617.html,房屋建筑,莲都,0,0,0,5,2023/9/26
